Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
STC-55-1_R2_001 - polya	(1, 0.02414321045813214)	(2, 0.033533958556738096)	(3, 0.044257387078578556)	(4, 0.05340019463332693)	(5, 0.0609933737889654)	(6, 0.07032213675160696)	(7, 0.07900005578662236)	(8, 0.0887937072689969)	(9, 0.09443435464175691)	(10, 0.1060565676350811)	(12, 0.11987925295514135)	(14, 0.13154795480043885)	(16, 0.14307719008981645)	(18, 0.15305679698008418)	(20, 0.16387320320587123)	(22, 0.17464312057968498)	(24, 0.18404936496228202)	(26, 0.19258781744137757)	(28, 0.20278437230752067)	(30, 0.21325986028550353)	(32, 0.22413825164725498)	(34, 0.23374594772173635)	(36, 0.24346211778415539)	(38, 0.25302332500666336)	(40, 0.2625535396611892)	(42, 0.27256413911943916)	(44, 0.28206336120598285)	(46, 0.29382504075522686)	(48, 0.3053542760446045)	(50, 0.314202654203522)	(52, 0.32302003979445726)	(54, 0.33278269870884963)	(56, 0.34187901741162474)	(58, 0.35168816517799034)	(60, 0.35988569940928167)	(62, 0.3689045366921012)	(64, 0.3786052104705292)	(66, 0.3882748916809749)	(68, 0.3978206026194918)	(70, 0.4075832615338842)	(72, 0.4173304241642854)	(74, 0.42848774863787664)	(76, 0.4397690433833966)	(78, 0.44998109453353086)	(80, 0.4596197831759944)	(82, 0.46969236777020873)	(84, 0.4804003000080581)	(86, 0.49165060218559586)	(88, 0.5012892908280594)	(90, 0.5118267639420067)	(92, 0.5225656887478383)	(94, 0.5333356061216521)	(96, 0.5436406349757328)	(98, 0.5541006266697246)	(100, 0.5645141295117431)	(102, 0.5742612921421444)	(104, 0.5840394473405277)	(106, 0.594127528218733)	(108, 0.604432557072814)	(110, 0.6144121639630817)	(112, 0.6252130739048776)	(114, 0.6355490953269406)	(116, 0.6456836650571193)	(118, 0.6557407533673425)	(120, 0.6659683008014678)	(122, 0.6768931810151926)	(124, 0.6877560760929529)	(126, 0.697177816759541)	(128, 0.708614074344972)	(130, 0.7191050586069461)	(132, 0.7306342938963237)	(134, 0.742132536617719)	(136, 0.7521276397919778)	(138, 0.7628355720298272)
STC-55-1_R2_001 - polyg	(1, 0.40897792709308306)	(2, 0.42431924824427103)	(3, 0.42949500709729804)	(4, 0.4356935206937376)	(5, 0.44136516063447984)	(6, 0.44629297894364933)	(7, 0.45156171550062296)	(8, 0.45571471961023746)	(9, 0.46116941157510427)	(10, 0.4693669458063956)	(12, 0.47978044864841407)	(14, 0.48591697710888926)	(16, 0.48974455925469074)	(18, 0.49200701671739117)	(20, 0.49382008194434973)	(22, 0.49540070291144184)	(24, 0.49693483502656066)	(26, 0.4979575897699732)	(28, 0.4988873668094391)	(30, 0.49966218100899407)	(32, 0.5003905063565757)	(34, 0.5009948614322286)	(36, 0.5014442536679704)	(38, 0.5017386830638013)	(40, 0.5020176161756411)	(42, 0.5023895269914275)	(44, 0.5025289935473474)	(46, 0.5027769340912049)	(48, 0.5030093783510714)	(50, 0.503086859771027)	(52, 0.5031643411909824)	(54, 0.5032728151789201)	(56, 0.5033967854508489)	(58, 0.5034432743028222)	(60, 0.5035052594387865)	(62, 0.5036912148466798)	(64, 0.5039081628225551)	(66, 0.5039391553905374)	(68, 0.5040011405265017)	(70, 0.5040786219464573)	(72, 0.5041251107984306)	(74, 0.5041715996504038)	(76, 0.5042180885023771)	(78, 0.5043110662063237)	(80, 0.5043885476262793)	(82, 0.5044660290462347)	(84, 0.5045280141821991)	(86, 0.5046829770221102)	(88, 0.5048534361460122)	(90, 0.5049154212819766)	(92, 0.5050858804058787)	(94, 0.5053803098017096)	(96, 0.5055197763576295)	(98, 0.5057987094694691)	(100, 0.5060001611613535)	(102, 0.5061396277172734)	(104, 0.5064185608291132)	(106, 0.506697493940953)	(108, 0.5068059679288907)	(110, 0.5069764270527928)	(112, 0.5073173453005969)	(114, 0.5075033007084901)	(116, 0.5077667375363388)	(118, 0.5080921595001519)	(120, 0.5082006334880895)	(122, 0.5084485740319471)	(124, 0.5086345294398403)	(126, 0.5089599514036534)	(128, 0.5094713287753596)	(130, 0.509827743307155)	(132, 0.5101221727029859)	(134, 0.5104320983828078)	(136, 0.5108814906185497)	(138, 0.5114393568422292)
STC-55-2_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 6.266023396704761e-05)	(5, 6.266023396704761e-05)	(6, 6.266023396704761e-05)	(7, 6.266023396704761e-05)	(8, 6.266023396704761e-05)	(9, 6.266023396704761e-05)	(10, 6.266023396704761e-05)	(12, 6.266023396704761e-05)	(14, 6.266023396704761e-05)	(16, 6.266023396704761e-05)	(18, 6.266023396704761e-05)	(20, 9.399035095057142e-05)	(22, 0.00010965540944233332)	(24, 0.0001409855264258571)	(26, 0.00018798070190114284)	(28, 0.00025064093586819045)	(30, 0.00034463128681876186)	(32, 0.0003759614038022857)	(34, 0.00040729152078580944)	(36, 0.0004699517547528571)	(38, 0.000485616813244619)	(40, 0.0005952722226869523)	(42, 0.0005952722226869523)	(44, 0.0006266023396704762)	(46, 0.0009242384510139523)	(48, 0.0011278842114068569)	(50, 0.0012062095038656664)	(52, 0.001268869737832714)	(54, 0.0013941902057668094)	(56, 0.0016604962001267615)	(58, 0.0018484769020279046)	(60, 0.002067787720912571)	(62, 0.002208773247338428)	(64, 0.002412419007731333)	(66, 0.0026787250020912853)	(68, 0.003039021347401809)	(70, 0.003367987575728809)	(72, 0.0035872983946134756)	(74, 0.0038536043889734277)	(76, 0.004198235675792189)	(78, 0.004715182606020333)	(80, 0.005263459653232)	(82, 0.005968387285361285)	(84, 0.006876960677883475)	(86, 0.007816864187389189)	(88, 0.009430365212040666)	(90, 0.011169186704626237)	(92, 0.01317431419157176)	(94, 0.015085451327566713)	(96, 0.017497870335298045)	(98, 0.020615216975158664)	(100, 0.024218180428263902)	(102, 0.028510406455006663)	(104, 0.033241254119518754)	(106, 0.038990330585995374)	(108, 0.045005713046831944)	(110, 0.0521803098360589)	(112, 0.06068643659708561)	(114, 0.07036744274499446)	(116, 0.08145830415716189)	(118, 0.09405301118453846)	(120, 0.10816722888561593)	(122, 0.12342499585659203)	(124, 0.139481680810648)	(126, 0.1583894064102046)	(128, 0.17809604999284107)	(130, 0.19957284518504664)	(132, 0.22452728336242334)	(134, 0.25198813089848193)	(136, 0.28082750358181563)	(138, 0.3118756495124877)
STC-55-2_R1_001 - polya	(1, 0.014850475450190283)	(2, 0.021931081888466663)	(3, 0.03029622312306752)	(4, 0.036938207923574565)	(5, 0.04455142635057085)	(6, 0.05141272196996256)	(7, 0.05874396934410713)	(8, 0.06557393484651532)	(9, 0.07108803543561551)	(10, 0.0815366294496207)	(12, 0.09361438954676912)	(14, 0.10553549905899993)	(16, 0.11701798693346141)	(18, 0.12715327977763136)	(20, 0.13637999922927913)	(22, 0.14566937891489395)	(24, 0.1564156090402426)	(26, 0.1647650852163517)	(28, 0.17461840700766992)	(30, 0.18389212163479296)	(32, 0.19321283143739132)	(34, 0.20289383758530016)	(36, 0.21349908218422298)	(38, 0.22260048116793663)	(40, 0.2322031620233867)	(42, 0.24329402343555412)	(44, 0.25418123908732865)	(46, 0.2669012665826393)	(48, 0.2768329136664164)	(50, 0.2873911630898639)	(52, 0.29765177640196794)	(54, 0.30705081149702507)	(56, 0.3166848224694586)	(58, 0.3277286887061508)	(60, 0.3379423068427795)	(62, 0.3485945466171776)	(64, 0.35877683463682286)	(66, 0.368504835960207)	(68, 0.3782798324590664)	(70, 0.3884934505956952)	(72, 0.3986130783813734)	(74, 0.4084350700557081)	(76, 0.4189619893621721)	(78, 0.4291442773818173)	(80, 0.43926390516749547)	(82, 0.4495245184795995)	(84, 0.46039606907288233)	(86, 0.47090732332085455)	(88, 0.48245247142928305)	(90, 0.49244677874702714)	(92, 0.5017831536081172)	(94, 0.511401499522059)	(96, 0.5217247730681301)	(98, 0.5338808584577375)	(100, 0.5439534910679403)	(102, 0.5537284875667997)	(104, 0.5642554068732637)	(106, 0.5753932634609065)	(108, 0.5864527947560904)	(110, 0.597856957338093)	(112, 0.6097780668503239)	(114, 0.6200543452209196)	(116, 0.6307222500538094)	(118, 0.6423143933377133)	(120, 0.6541258474405018)	(122, 0.6656553304904385)	(124, 0.6766522015516554)	(126, 0.6867091691033665)	(128, 0.6975493895796657)	(130, 0.7092041930975366)	(132, 0.7202480593342288)	(134, 0.7315895616822643)	(136, 0.7415838690000085)	(138, 0.752408424417816)
STC-55-2_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 6.266023396704761e-05)	(5, 6.266023396704761e-05)	(6, 6.266023396704761e-05)	(7, 6.266023396704761e-05)	(8, 6.266023396704761e-05)	(9, 6.266023396704761e-05)	(10, 7.832529245880952e-05)	(12, 9.399035095057142e-05)	(14, 0.00012532046793409523)	(16, 0.00015665058491761902)	(18, 0.00018798070190114284)	(20, 0.00023497587737642854)	(22, 0.0002819710528517142)	(24, 0.000328966228327)	(26, 0.0003759614038022857)	(28, 0.00043862163776933326)	(30, 0.0005012818717363809)	(32, 0.0005639421057034284)	(34, 0.0005952722226869523)	(36, 0.0006892625736375237)	(38, 0.0007049276321292856)	(40, 0.0008302481000633808)	(42, 0.0008459131585551428)	(44, 0.0009242384510139523)	(46, 0.0011278842114068569)	(48, 0.0013471950302915234)	(50, 0.001472515498225619)	(52, 0.001613501024651476)	(54, 0.001738821492585571)	(56, 0.0020991178378960947)	(58, 0.0023810888907478092)	(60, 0.0025534045341571903)	(62, 0.002788380411533619)	(64, 0.0029920261719265234)	(66, 0.0033053273417617615)	(68, 0.0036812887455640467)	(70, 0.004072915207858095)	(72, 0.004354886260709808)	(74, 0.004542866962610952)	(76, 0.0049188283664132375)	(78, 0.005467105413624904)	(80, 0.005999717402344808)	(82, 0.006767305268441142)	(84, 0.007487897959062189)	(86, 0.008380806293092617)	(88, 0.010009972376235856)	(90, 0.01160780834239557)	(92, 0.013440620185931711)	(94, 0.015336092263434901)	(96, 0.01779550644664152)	(98, 0.020881522969518618)	(100, 0.02453148159809914)	(102, 0.02896469315126776)	(104, 0.03386785645918923)	(106, 0.039554272691698804)	(108, 0.045569655152535374)	(110, 0.052618931473828234)	(112, 0.06117205341033023)	(114, 0.07075906920728851)	(116, 0.0815366294496207)	(118, 0.09425665694493138)	(120, 0.10816722888561595)	(122, 0.12328401033016617)	(124, 0.13963833139556558)	(126, 0.1587183726385316)	(128, 0.17844068127965984)	(130, 0.1996355054190137)	(132, 0.22426097736806339)	(134, 0.2515651743192044)	(136, 0.28012257594968637)	(138, 0.31043446413124565)
STC-55-2_R2_001 - polya	(1, 0.020301915805323426)	(2, 0.02832242575310552)	(3, 0.03696953804055809)	(4, 0.04524068892420837)	(5, 0.05360583015880923)	(6, 0.06065510648010208)	(7, 0.06707778046172447)	(8, 0.07497296994157246)	(9, 0.08192825591191474)	(10, 0.0918599029956918)	(12, 0.10475224613441184)	(14, 0.1177229145655907)	(16, 0.12912707714759336)	(18, 0.1393876904596974)	(20, 0.1484734243849193)	(22, 0.15813876547433642)	(24, 0.16771011621280293)	(26, 0.17779841388149759)	(28, 0.1869624730991783)	(30, 0.19690978524144712)	(32, 0.20590152881571844)	(34, 0.21486194227300626)	(36, 0.2246369387718657)	(38, 0.23494454725944502)	(40, 0.24482919916774676)	(42, 0.2532100054608394)	(44, 0.262577710438913)	(46, 0.27277566351705)	(48, 0.28242533954797533)	(50, 0.2914327481807384)	(52, 0.300675132690878)	(54, 0.31002717261045976)	(56, 0.3187839403073547)	(58, 0.32757203812123314)	(60, 0.3354202324256058)	(62, 0.34450596635082775)	(64, 0.3532627340477227)	(66, 0.36353901241831843)	(68, 0.3730320378643262)	(70, 0.38203944649708926)	(72, 0.3910468551298524)	(74, 0.4001169239965825)	(76, 0.41050285777662066)	(78, 0.42112376743403523)	(80, 0.4308830988744029)	(82, 0.4415666687657845)	(84, 0.45199959772129794)	(86, 0.4617745942201573)	(88, 0.47090732332085455)	(90, 0.4813089221593845)	(92, 0.4908332777223757)	(94, 0.5011878813854304)	(96, 0.5112761790541249)	(98, 0.5213174815473444)	(100, 0.5322046971991188)	(102, 0.5422929948678136)	(104, 0.5512377432666096)	(106, 0.5606837735371419)	(108, 0.5699104929887897)	(110, 0.5790745522064704)	(112, 0.5889592041147722)	(114, 0.5982642488588787)	(116, 0.6062377636311855)	(118, 0.616608032352732)	(120, 0.6263516987346078)	(122, 0.6370509336844813)	(124, 0.6480008095702228)	(126, 0.659639948029602)	(128, 0.6690859783001344)	(130, 0.6774981147102105)	(132, 0.6870224702732017)	(134, 0.6975493895796658)	(136, 0.7070267499671817)	(138, 0.7169114018754834)
STC-55-2_R2_001 - polyg	(1, 0.19177164605614921)	(2, 0.19593855161495788)	(3, 0.19794367910190339)	(4, 0.2001994475247171)	(5, 0.20198526419277796)	(6, 0.20402172179670702)	(7, 0.2060895095176196)	(8, 0.20787532618568044)	(9, 0.21028774519341178)	(10, 0.21351474724271474)	(12, 0.21832392019968563)	(14, 0.2209713150847934)	(16, 0.22242816552452727)	(18, 0.22349338950196707)	(20, 0.22444895806996454)	(22, 0.2251225555851103)	(24, 0.22587447839271488)	(26, 0.22648541567389358)	(28, 0.22684571201920412)	(30, 0.22712768307205583)	(32, 0.22739398906641578)	(34, 0.22764463000228397)	(36, 0.22797359623061098)	(38, 0.2280832516400533)	(40, 0.22813024681552857)	(42, 0.22817724199100387)	(44, 0.22827123234195446)	(46, 0.22838088775139676)	(48, 0.22852187327782264)	(50, 0.2286158636287732)	(52, 0.2286628588042485)	(54, 0.22881950938916612)	(56, 0.22889783468162492)	(58, 0.22891349974011668)	(60, 0.2289448298571002)	(62, 0.22899182503257548)	(64, 0.22903882020805078)	(66, 0.2291171455005096)	(68, 0.22924246596844366)	(70, 0.22939911655336132)	(72, 0.22954010207978714)	(74, 0.2296027623137542)	(76, 0.22966542254772127)	(78, 0.22971241772319653)	(80, 0.2298534032496224)	(82, 0.22993172854208122)	(84, 0.22996305865906472)	(86, 0.22999438877604825)	(88, 0.2301823694779494)	(90, 0.23037035017985052)	(92, 0.23046434053080112)	(94, 0.2306209911157187)	(96, 0.2307933067591281)	(98, 0.2308716320515869)	(100, 0.2310439476949963)	(102, 0.23113793804594687)	(104, 0.2312475934553892)	(106, 0.2313729139233233)	(108, 0.2315765596837162)	(110, 0.23173321026863383)	(112, 0.23190552591204322)	(114, 0.23209350661394434)	(116, 0.2322658222573537)	(118, 0.2324068077837796)	(120, 0.23262611860266424)	(122, 0.2329394197724995)	(124, 0.23314306553289238)	(126, 0.23339370646876056)	(128, 0.233628682346137)	(130, 0.23398897869144752)	(132, 0.23444326538770863)	(134, 0.2347095713820686)	(136, 0.23505420266888732)	(138, 0.23543016407268963)
STC-55-3_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.090093303208433e-05)	(12, 4.090093303208433e-05)	(14, 4.090093303208433e-05)	(16, 4.090093303208433e-05)	(18, 4.090093303208433e-05)	(20, 4.090093303208433e-05)	(22, 8.180186606416866e-05)	(24, 8.180186606416866e-05)	(26, 0.00010225233258021082)	(28, 0.00014315326561229516)	(30, 0.00030675699774063245)	(32, 0.00040900933032084327)	(34, 0.0004908111963850119)	(36, 0.0005726130624491806)	(38, 0.0006748653950293914)	(40, 0.0007975681941256444)	(42, 0.0008384691271577287)	(44, 0.0008793700601898131)	(46, 0.0009202709932218974)	(48, 0.001002072859286066)	(50, 0.001104325191866277)	(52, 0.0013088298570266984)	(54, 0.0014519831226389936)	(56, 0.0015542354552192045)	(58, 0.0016769382543154574)	(60, 0.0017587401203796261)	(62, 0.0019223438525079635)	(64, 0.0019632447855400478)	(66, 0.0021063980511523426)	(68, 0.002372254115860891)	(70, 0.002597209247537355)	(72, 0.003006218577858198)	(74, 0.003333426042114873)	(76, 0.00368108397288759)	(78, 0.004130994236240517)	(80, 0.004744508231721782)	(82, 0.005521625959331384)	(84, 0.006196491354360775)	(86, 0.007321267012743094)	(88, 0.008343790338545203)	(90, 0.009713971595120028)	(92, 0.011759018246724245)	(94, 0.013251902302395323)	(96, 0.015296948953999539)	(98, 0.017526049804248135)	(100, 0.02043001604952612)	(102, 0.023988397223317456)	(104, 0.028303445658202357)	(106, 0.03306840435644018)	(108, 0.03807876865287051)	(110, 0.0451546300674211)	(112, 0.052803104544420866)	(114, 0.06249662567302485)	(116, 0.07245600286633738)	(118, 0.08435817437867393)	(120, 0.09742602248242486)	(122, 0.11210945744094314)	(124, 0.12871523625196937)	(126, 0.1465275925874421)	(128, 0.16775517683109387)	(130, 0.18918726573990607)	(132, 0.21284845549896683)	(134, 0.23925000777117728)	(136, 0.265794713309)	(138, 0.2951615832260366)
STC-55-3_R1_001 - polya	(1, 0.013579109766651996)	(2, 0.020000556252689237)	(3, 0.027240021399368163)	(4, 0.03456128841211126)	(5, 0.043068682482784795)	(6, 0.04969463363398246)	(7, 0.055134457727249675)	(8, 0.06249662567302485)	(9, 0.06793644976629207)	(10, 0.07830483628992545)	(12, 0.09053421526651866)	(14, 0.10192512511595414)	(16, 0.11358189103009818)	(18, 0.12419568315192406)	(20, 0.13476857434071787)	(22, 0.14595497952499292)	(24, 0.1549736352585675)	(26, 0.16370598446091753)	(28, 0.17376761398681026)	(30, 0.18417690144347573)	(32, 0.19548600942684705)	(34, 0.2062838557473173)	(36, 0.21585467407682504)	(38, 0.22558909613846112)	(40, 0.23495540980280843)	(42, 0.24311514594270925)	(44, 0.25258371193963675)	(46, 0.26287029659720595)	(48, 0.27240021399368164)	(50, 0.28309580798157163)	(52, 0.2937709515029457)	(54, 0.30274870630348816)	(56, 0.3120332181017713)	(58, 0.32068376543805716)	(60, 0.33011143050195263)	(62, 0.340991078688487)	(64, 0.351625321276829)	(66, 0.3622595638651709)	(68, 0.37446849237524804)	(70, 0.38608435735636004)	(72, 0.39590058128406025)	(74, 0.4053282463479557)	(76, 0.4159215880032655)	(78, 0.4255128567992893)	(80, 0.43496097232970077)	(82, 0.4459428728488154)	(84, 0.4572928817652189)	(86, 0.46878604394723455)	(88, 0.47751839314958455)	(90, 0.48663930121573934)	(92, 0.4974984989357577)	(94, 0.5080713901245515)	(96, 0.5191964439092784)	(98, 0.5283173519754332)	(100, 0.5385834861664864)	(102, 0.5485633138263151)	(104, 0.5593611601467853)	(106, 0.5704453129984801)	(108, 0.5808136995221136)	(110, 0.5908957795145222)	(112, 0.6019594818997012)	(114, 0.6125323730884948)	(116, 0.6228394082125801)	(118, 0.6342507685285317)	(120, 0.6463778951725447)	(122, 0.6577074536224321)	(124, 0.6695687242017365)	(126, 0.6804074714552388)	(128, 0.6911235159096449)	(130, 0.7021054164287596)	(132, 0.7133940739456148)	(134, 0.7239669651344087)	(136, 0.7341308469928816)	(138, 0.7442538279183224)
STC-55-3_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 4.090093303208433e-05)	(24, 4.090093303208433e-05)	(26, 6.135139954812649e-05)	(28, 0.00020450466516042163)	(30, 0.00038855886380480113)	(32, 0.0005317121294170962)	(34, 0.000633964461997307)	(36, 0.0007771177276096023)	(38, 0.0008793700601898131)	(40, 0.0010225233258021082)	(42, 0.0010634242588341927)	(44, 0.001124775658382319)	(46, 0.0011656765914144034)	(48, 0.0012883793905106565)	(50, 0.0014315326561229514)	(52, 0.001636037321283373)	(54, 0.0018405419864437947)	(56, 0.002004145718572132)	(58, 0.002126848517668385)	(60, 0.002249551316764638)	(62, 0.0024131550488929753)	(64, 0.002576758781021313)	(66, 0.002760812979665692)	(68, 0.0030880204439223667)	(70, 0.0033129755755988304)	(72, 0.0037219849059196737)	(74, 0.004069642836692391)	(76, 0.004396850300949065)	(78, 0.004785409164753866)	(80, 0.005337571760687005)	(82, 0.006094239021780565)	(84, 0.006769104416809956)	(86, 0.007812078209128106)	(88, 0.008855052001446258)	(90, 0.010163881858472956)	(92, 0.012045324777948835)	(94, 0.013476857434071787)	(96, 0.015562805018708086)	(98, 0.017914608668052938)	(100, 0.02096172817894322)	(102, 0.024417857020154345)	(104, 0.028589752189426942)	(106, 0.033109305289472264)	(108, 0.03818102098545072)	(110, 0.04531823379954943)	(112, 0.05292580734351712)	(114, 0.06253752660605694)	(116, 0.07237420100027323)	(118, 0.08392871458183704)	(120, 0.09697611221907193)	(122, 0.11139369111288167)	(124, 0.12793811852435977)	(126, 0.14573002439331645)	(128, 0.1664667974405832)	(130, 0.18744897608604247)	(132, 0.21072160698129846)	(134, 0.23663234805712388)	(136, 0.26264534146552954)	(138, 0.2914600487866329)
STC-55-3_R2_001 - polya	(1, 0.0185281226635342)	(2, 0.02732182326543233)	(3, 0.035215703340624606)	(4, 0.04167805075969393)	(5, 0.050021841098239136)	(6, 0.058651937968008924)	(7, 0.06544149285133492)	(8, 0.07329447199349512)	(9, 0.08037033340804571)	(10, 0.09165899092490098)	(12, 0.10493134369381235)	(14, 0.11632225354324782)	(16, 0.12787676712481166)	(18, 0.1384292078470894)	(20, 0.14906345043543134)	(22, 0.15969769302377324)	(24, 0.1691662590207008)	(26, 0.17885978014930476)	(28, 0.18928951807248628)	(30, 0.1992079943327667)	(32, 0.20871746126272633)	(34, 0.21920855058545596)	(36, 0.22857486424980328)	(38, 0.23792072744763454)	(40, 0.2488617270337171)	(42, 0.25800308556638796)	(44, 0.26781930949408816)	(46, 0.2778195876204328)	(48, 0.2879016676128416)	(50, 0.2984541083351193)	(52, 0.3077795210664346)	(54, 0.3171049337977498)	(56, 0.32773917638609174)	(58, 0.3373304451821155)	(60, 0.34632865044917405)	(62, 0.3574128033008689)	(64, 0.3675357842263098)	(66, 0.3771270530223335)	(68, 0.38403931070475583)	(70, 0.39293526363923414)	(72, 0.4014017567768756)	(74, 0.4116474405014127)	(76, 0.4219544756254979)	(78, 0.4314843930219736)	(80, 0.44019629175780756)	(82, 0.4492762988909303)	(84, 0.45921522561772676)	(86, 0.46872469254768645)	(88, 0.47862271834145076)	(90, 0.4897068711931457)	(92, 0.49850057179504376)	(94, 0.5084394985218403)	(96, 0.518991939244118)	(98, 0.5288286136383343)	(100, 0.5387266394320986)	(102, 0.5478475474982536)	(104, 0.5576024200264056)	(106, 0.5671936888224294)	(108, 0.577643877212127)	(110, 0.5881554170013726)	(112, 0.59850335305849)	(114, 0.6079923695219336)	(116, 0.618463008378147)	(118, 0.6285450883705559)	(120, 0.6385862674299326)	(122, 0.6484638427571809)	(124, 0.6585663732161058)	(126, 0.6681985429451617)	(128, 0.6788327855335036)	(130, 0.689712433720038)	(132, 0.6996513604468345)	(134, 0.7089154217786016)	(136, 0.7186702943067538)	(138, 0.7287114733661304)
STC-55-3_R2_001 - polyg	(1, 0.18303167531857736)	(2, 0.18753077795210665)	(3, 0.18969852740280713)	(4, 0.1921116824517001)	(5, 0.1936250169738872)	(6, 0.1962426766879406)	(7, 0.1980832186743844)	(8, 0.20037367092418112)	(9, 0.20270502410700994)	(10, 0.20640655854641354)	(12, 0.21106926491207118)	(14, 0.21342106856141602)	(16, 0.21487305168405502)	(18, 0.21591602547637317)	(20, 0.2170408011347555)	(22, 0.2176338646637207)	(24, 0.21798152259449344)	(26, 0.21824737865920196)	(28, 0.2184927842573945)	(30, 0.21875864032210302)	(32, 0.21888134312119928)	(34, 0.21916764965242386)	(36, 0.21943350571713244)	(38, 0.21949485711668054)	(40, 0.21980161411442117)	(42, 0.21984251504745328)	(44, 0.21998566831306554)	(46, 0.22002656924609765)	(48, 0.22008792064564578)	(50, 0.22008792064564578)	(52, 0.2201083711121618)	(54, 0.22016972251170994)	(56, 0.22019017297822596)	(58, 0.22037422717687036)	(60, 0.22045602904293454)	(62, 0.2205378309089987)	(64, 0.22055828137551475)	(66, 0.22066053370809496)	(68, 0.22074233557415912)	(70, 0.22074233557415912)	(72, 0.22074233557415912)	(74, 0.2207832365071912)	(76, 0.2207832365071912)	(78, 0.22082413744022328)	(80, 0.22084458790673933)	(82, 0.22094684023931954)	(84, 0.22098774117235162)	(86, 0.22117179537099602)	(88, 0.22129449817009225)	(90, 0.22164215610086496)	(92, 0.2218057598329933)	(94, 0.22192846263208957)	(96, 0.2220920663642179)	(98, 0.22223521962983017)	(100, 0.22225567009634623)	(102, 0.22227612056286228)	(104, 0.22256242709408686)	(106, 0.2228691840918275)	(108, 0.22317594108956815)	(110, 0.2234417971542767)	(112, 0.22362585135292107)	(114, 0.2238917074176296)	(116, 0.22411666254930607)	(118, 0.2243211672144665)	(120, 0.2245256718796269)	(122, 0.22466882514523923)	(124, 0.2249960326094959)	(126, 0.22542549240633278)	(128, 0.22575269987058943)	(130, 0.22618215966742633)	(132, 0.22661161946426323)	(134, 0.2268365745959397)	(136, 0.22720468299322844)	(138, 0.2275727913905172)
STC-CTRL_R1_001 - illumina_universal_adapter	(1, 2.812779695780999e-05)	(2, 2.812779695780999e-05)	(3, 2.812779695780999e-05)	(4, 2.812779695780999e-05)	(5, 2.812779695780999e-05)	(6, 2.812779695780999e-05)	(7, 2.812779695780999e-05)	(8, 2.812779695780999e-05)	(9, 2.812779695780999e-05)	(10, 2.812779695780999e-05)	(12, 5.625559391561998e-05)	(14, 5.625559391561998e-05)	(16, 0.00011251118783123996)	(18, 0.00016876678174685994)	(20, 0.00019689457870466993)	(22, 0.00023908627414138492)	(24, 0.0002672140710991949)	(26, 0.00032346966501481487)	(28, 0.00037972525893043485)	(30, 0.0004078530558882449)	(32, 0.0004641086498038649)	(34, 0.0005063003452405798)	(36, 0.0006750671269874398)	(38, 0.0007313227209030598)	(40, 0.0008016422132975848)	(42, 0.0008578978072132047)	(44, 0.0009844728935233496)	(46, 0.0010829201828756849)	(48, 0.0012094952691858295)	(50, 0.0012938786600592597)	(52, 0.0015048371372428345)	(54, 0.0017439234113842195)	(56, 0.0018704984976943644)	(58, 0.0020673930763990345)	(60, 0.0023346071474982296)	(62, 0.0025315017262028993)	(64, 0.002756524101865379)	(66, 0.0029252908836122395)	(68, 0.003262824447105959)	(70, 0.003698805299952014)	(72, 0.003881635980177779)	(74, 0.004303552934544929)	(76, 0.004711405990433174)	(78, 0.005189578538715944)	(80, 0.005808390071787763)	(82, 0.006441265503338489)	(84, 0.007299163310551693)	(86, 0.008508658579737522)	(88, 0.009844728935233497)	(90, 0.010969840813545897)	(92, 0.012826275412761356)	(94, 0.015048371372428346)	(96, 0.017101700550348476)	(98, 0.02009731092635524)	(100, 0.02358515774912368)	(102, 0.027804327292795177)	(104, 0.0323610303999604)	(106, 0.03707243639039357)	(108, 0.043133976634801625)	(110, 0.05043313994535332)	(112, 0.057985453428525305)	(114, 0.06546744741930276)	(116, 0.074608981430591)	(118, 0.08443964646734559)	(120, 0.09532510389001805)	(122, 0.1080951237088638)	(124, 0.12117454929424545)	(126, 0.13592757879861678)	(128, 0.15236827612045672)	(130, 0.17066540804151215)	(132, 0.18872345368842613)	(134, 0.20786441951821583)	(136, 0.22955095097268735)	(138, 0.25234853040699234)
